file,score
1,20.0484619140625
2,25.1207275390625
3,27.10888671875
4,19.48077392578125
5,25.51019287109375
6,21.2744140625
7,25.717529296875
8,27.1400146484375
9,19.2918701171875
10,16.0206298828125
11,24.2738037109375
12,18.01409912109375
13,25.208251953125
14,22.11492919921875
15,22.4310302734375
16,21.54400634765625
17,25.5880126953125
18,26.947021484375
19,24.21954345703125
20,26.09320068359375
21,25.02459716796875
22,24.33099365234375
23,19.6307373046875
24,23.89593505859375
25,20.29425048828125
26,27.1077880859375
27,26.686279296875
28,17.2047119140625
29,25.6640625
30,20.18170166015625
31,22.53466796875
32,17.31622314453125
33,22.92669677734375
34,17.697509765625
35,24.6229248046875
36,23.004638671875
37,21.3238525390625
38,23.9840087890625
39,17.33367919921875
40,25.32330322265625
41,19.87200927734375
42,18.46136474609375
43,24.370361328125
44,22.4061279296875
45,27.07470703125
46,24.582275390625
47,23.72540283203125
48,19.09820556640625
49,25.203857421875
50,18.17059326171875
51,19.9571533203125
52,25.38140869140625
53,19.85589599609375
54,20.75006103515625
55,20.663330078125
56,22.25225830078125
57,26.153564453125
58,21.76751708984375
59,22.31109619140625
60,22.86358642578125
61,24.3333740234375
62,27.33282470703125
63,22.2100830078125
64,24.7857666015625
65,29.78765869140625
66,21.13238525390625
67,20.6361083984375
68,20.74505615234375
69,23.502685546875
70,19.71258544921875
71,28.02874755859375
72,22.26171875
73,20.9119873046875
74,18.15985107421875
75,26.42950439453125
76,23.29339599609375
77,20.50482177734375
78,21.25360107421875
79,23.96002197265625
80,23.81549072265625
81,26.9573974609375
82,26.6226806640625
83,22.506591796875
84,23.40545654296875
85,26.47442626953125
86,19.95477294921875
87,23.8380126953125
88,19.37249755859375
89,26.719482421875
90,25.15179443359375
91,22.212646484375
92,23.6534423828125
93,27.304443359375
94,22.97320556640625
95,19.19073486328125
96,26.181640625
97,25.8912353515625
98,22.40032958984375
99,19.46868896484375
100,15.8450927734375
101,19.989501953125
102,20.3736572265625
103,18.48968505859375
104,23.08056640625
105,21.4178466796875
106,22.718505859375
107,30.83807373046875
108,28.95489501953125
109,21.6104736328125
110,20.46142578125
111,24.42547607421875
112,26.12213134765625
113,20.8707275390625
114,25.483642578125
115,22.90087890625
116,23.23565673828125
117,24.6617431640625
118,31.8447265625
119,23.46014404296875
120,24.69085693359375
121,24.3157958984375
122,32.832763671875
123,28.12664794921875
average,23.12182766053735
