file,score
1,8.307266235351562
2,9.766387939453125
3,10.213851928710938
4,7.39288330078125
5,3.4123992919921875
6,6.7353057861328125
7,10.462875366210938
8,13.443374633789062
9,3.3306884765625
10,3.7625885009765625
11,5.5057525634765625
12,6.7430877685546875
13,4.8131561279296875
14,1.78985595703125
15,9.501800537109375
16,18.805160522460938
17,19.058074951171875
18,5.7703399658203125
19,4.972686767578125
20,1.4279937744140625
21,7.758636474609375
22,17.956924438476562
23,3.229522705078125
24,2.8326416015625
25,39.40406799316406
26,25.046310424804688
27,31.369171142578125
28,26.108551025390625
29,36.65702819824219
30,7.1282958984375
31,6.785888671875
32,5.4473876953125
33,4.9999237060546875
34,5.1789093017578125
35,3.431854248046875
36,8.925933837890625
37,8.097152709960938
38,2.6030731201171875
39,3.1089019775390625
40,9.26055908203125
41,2.077789306640625
42,7.4356842041015625
43,10.579605102539062
44,5.6691741943359375
45,7.945404052734375
46,4.3618011474609375
47,7.9376220703125
48,7.8170013427734375
49,3.789825439453125
50,2.8910064697265625
51,6.4434814453125
52,3.3579254150390625
53,8.828659057617188
54,6.9454193115234375
55,34.97222900390625
56,6.8675994873046875
57,5.719757080078125
58,5.6691741943359375
59,8.525161743164062
60,6.6730499267578125
61,7.820892333984375
62,3.11279296875
63,0.7509613037109375
64,2.9376983642578125
65,8.536834716796875
66,3.4123992919921875
67,2.4163055419921875
68,4.879302978515625
69,3.836517333984375
70,5.8831787109375
71,10.143814086914062
72,6.902618408203125
73,6.731414794921875
74,7.9998779296875
75,6.98822021484375
76,3.9104461669921875
77,8.60687255859375
78,3.5174560546875
79,1.38519287109375
80,3.587493896484375
81,9.832534790039062
82,5.766448974609375
83,4.09332275390625
84,1.1789703369140625
85,5.190582275390625
86,10.252761840820312
87,3.6147308349609375
88,4.2139434814453125
89,2.933807373046875
90,9.957046508789062
91,8.9337158203125
92,4.84039306640625
93,4.4863128662109375
94,4.09332275390625
95,12.058181762695312
96,3.680877685546875
97,8.221664428710938
98,4.0038299560546875
99,9.688568115234375
100,8.743057250976562
101,9.08935546875
102,4.210052490234375
103,5.6613922119140625
104,4.552459716796875
105,6.6652679443359375
106,4.3929290771484375
107,2.0349884033203125
108,4.2139434814453125
109,5.221710205078125
110,7.7002716064453125
111,9.241104125976562
112,7.82867431640625
113,10.844192504882812
114,5.5913543701171875
115,8.085479736328125
116,3.9532470703125
117,3.81317138671875
118,11.186599731445312
119,7.26837158203125
120,8.291702270507812
121,12.781906127929688
122,11.385040283203125
123,3.898773193359375
average,7.740731588224086
